"File generated by GSOFT40k V7.240"
"data from 02309915 EASYLog 80"



"Serial no.";"02309915"
"Type";"EASYLog 80"
"Version";"2.8"

"Data Sets";97
"First";"2022-07-15 15:24:15"
"Last";"2022-07-17 15:24:15"
;"Identification";"Store 4";"3_Store26_Temp.";
;"Alarm Min";"20.0 % RH";"15.0 �C";
;"Alarm Max";"65.0 % RH";"25.0 �C";
;"Alarm Delay";"15 min";"15 min";

;"EASYBus";"Address";"9";"10";
;"EASYBus";"ID";"02309915";"02309916";
;"Display";"Range";"0.0...100.0 % RH";"-25.0...60.0 �C";
;"Display";"Source";"Rel. Air Humidity";"Temperature";
;"Correction";"Offset";"0.0% RH";"0.0�C";
;"Correction";"Scale";"0.00%";"0.00%";

"No";"Date";"Store 4";"3_Store26_Temp."
;;"[% RH]";"[�C]"
1;"2022-07-15 15:24:15"; 29; 32.6
2;"2022-07-15 15:54:15"; 28.8; 32.6
3;"2022-07-15 16:24:15"; 28.8; 32.6
4;"2022-07-15 16:54:15"; 28.8; 32.7
5;"2022-07-15 17:24:15"; 28.5; 32.7
6;"2022-07-15 17:54:15"; 28.3; 32.8
7;"2022-07-15 18:24:15"; 28.1; 32.8
8;"2022-07-15 18:54:15"; 28.3; 32.9
9;"2022-07-15 19:24:15"; 28.4; 32.9
10;"2022-07-15 19:54:15"; 28.5; 32.9
11;"2022-07-15 20:24:15"; 28.7; 33
12;"2022-07-15 20:54:15"; 28.8; 33
13;"2022-07-15 21:24:15"; 28.8; 33
14;"2022-07-15 21:54:15"; 28.7; 33
15;"2022-07-15 22:24:15"; 28.7; 33
16;"2022-07-15 22:54:15"; 28.8; 33
17;"2022-07-15 23:24:15"; 28.8; 33
18;"2022-07-15 23:54:15"; 28.7; 33
19;"2022-07-16 00:24:15"; 28.6; 32.9
20;"2022-07-16 00:54:15"; 28.5; 32.9
21;"2022-07-16 01:24:15"; 28.4; 32.9
22;"2022-07-16 01:54:15"; 28.2; 32.9
23;"2022-07-16 02:24:15"; 28; 32.9
24;"2022-07-16 02:54:15"; 28; 32.8
25;"2022-07-16 03:24:15"; 28.1; 32.8
26;"2022-07-16 03:54:15"; 27.9; 32.7
27;"2022-07-16 04:24:15"; 27.9; 32.7
28;"2022-07-16 04:54:15"; 27.8; 32.6
29;"2022-07-16 05:24:15"; 27.6; 32.6
30;"2022-07-16 05:54:15"; 27.7; 32.6
31;"2022-07-16 06:24:15"; 27.7; 32.6
32;"2022-07-16 06:54:15"; 27.7; 32.6
33;"2022-07-16 07:24:15"; 27.6; 32.6
34;"2022-07-16 07:54:15"; 27.9; 32.6
35;"2022-07-16 08:24:15"; 28.9; 28.1
36;"2022-07-16 08:54:15"; 29.5; 25.6
37;"2022-07-16 09:24:15"; 29.8; 24.9
38;"2022-07-16 09:54:15"; 30.9; 24.6
39;"2022-07-16 10:24:15"; 30.3; 25
40;"2022-07-16 10:54:15"; 30.4; 24.9
41;"2022-07-16 11:24:15"; 31.2; 24.6
42;"2022-07-16 11:54:15"; 31.1; 24.4
43;"2022-07-16 12:24:15"; 31.7; 24.3
44;"2022-07-16 12:54:15"; 32.1; 24.2
45;"2022-07-16 13:24:15"; 32.5; 24.2
46;"2022-07-16 13:54:15"; 32.3; 24.1
47;"2022-07-16 14:24:15"; 32.5; 24.2
48;"2022-07-16 14:54:15"; 32.7; 23.9
49;"2022-07-16 15:24:15"; 33; 23.8
50;"2022-07-16 15:54:15"; 32.1; 23.9
51;"2022-07-16 16:24:15"; 32.4; 23.9
52;"2022-07-16 16:54:15"; 33; 23.9
53;"2022-07-16 17:24:15"; 31.4; 25.9
54;"2022-07-16 17:54:15"; 29.9; 27.4
55;"2022-07-16 18:24:15"; 29.3; 28.1
56;"2022-07-16 18:54:15"; 28.7; 28.5
57;"2022-07-16 19:24:15"; 28.6; 28.8
58;"2022-07-16 19:54:15"; 28.3; 29
59;"2022-07-16 20:24:15"; 28.1; 29.2
60;"2022-07-16 20:54:15"; 28; 29.4
61;"2022-07-16 21:24:15"; 27.9; 29.5
62;"2022-07-16 21:54:15"; 27.9; 29.6
63;"2022-07-16 22:24:15"; 27.9; 29.7
64;"2022-07-16 22:54:15"; 28; 29.8
65;"2022-07-16 23:24:15"; 28.2; 29.8
66;"2022-07-16 23:54:15"; 28.3; 29.9
67;"2022-07-17 00:24:15"; 28.3; 30
68;"2022-07-17 00:54:15"; 28.4; 30
69;"2022-07-17 01:24:15"; 28.6; 30.1
70;"2022-07-17 01:54:15"; 28.7; 30.1
71;"2022-07-17 02:24:15"; 28.8; 30.1
72;"2022-07-17 02:54:15"; 28.9; 30.1
73;"2022-07-17 03:24:15"; 29.1; 30.1
74;"2022-07-17 03:54:15"; 29.4; 30.2
